Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -0.310162	 548.707742	 549.730065	 -0.327154	 61.377836	 61.573391	 0.484809	 38.622164	 38.426609	 -0.008873	 22.961690	 22.937625	 44.535018	 0.665714	 0.682381	 0.517619	 0.147143	 0.520476	 0.161905	 0.827143	 0.829524	 
0.000000	 -0.364402	 553.973305	 555.492870	 -1.293573	 61.282941	 62.075914	 2.049634	 38.717059	 37.924086	 -0.155653	 23.393904	 23.419120	 43.950365	 0.669545	 0.694091	 0.517273	 0.152727	 0.527318	 0.166773	 0.836773	 0.846818	 
0.000000	 0.739016	 560.435171	 555.947612	 -0.593679	 62.039664	 62.340087	 0.958820	 37.960336	 37.659913	 -0.057514	 24.276415	 24.281533	 43.728319	 0.677273	 0.695455	 0.517273	 0.160909	 0.522727	 0.172727	 0.850455	 0.856364	 
0.000000	 2.919673	 560.956587	 544.517962	 -0.186218	 61.725510	 61.834065	 0.255737	 38.274490	 38.165935	 0.122159	 23.583668	 23.533278	 44.056293	 0.670955	 0.690409	 0.519545	 0.151409	 0.521318	 0.169091	 0.840955	 0.841818	 
0.000000	 -0.627195	 556.413796	 559.346140	 0.190017	 62.123407	 61.922587	 -0.365875	 37.876593	 38.077413	 0.073546	 24.119488	 24.087086	 43.512537	 0.680955	 0.698136	 0.524091	 0.156864	 0.522773	 0.175364	 0.856773	 0.855000	 
0.000000	 0.122865	 557.709199	 556.458054	 -0.544760	 62.002382	 62.335795	 0.858860	 37.997618	 37.664205	 -0.201027	 24.334511	 24.370511	 43.776397	 0.675909	 0.695909	 0.516364	 0.158636	 0.520455	 0.175455	 0.850000	 0.854545	 
0.000000	 -0.001355	 558.862386	 558.677162	 -0.181490	 61.933292	 62.041180	 0.264380	 38.066708	 37.958820	 0.070515	 23.974156	 23.937067	 43.724040	 0.678095	 0.693810	 0.520952	 0.157619	 0.522857	 0.170952	 0.850000	 0.851429	 
0.000000	 0.701543	 563.625931	 559.537169	 0.230406	 61.894212	 61.743832	 -0.428102	 38.105788	 38.256168	 -0.396694	 23.622482	 23.679668	 43.516195	 0.682727	 0.696364	 0.527727	 0.155455	 0.525000	 0.171364	 0.853636	 0.851818	 
25.000000	 -3.847738	 547.015961	 563.749037	 -0.017082	 62.795138	 62.748963	 -0.089243	 37.204862	 37.251037	 0.082842	 25.677553	 25.633338	 42.839225	 0.697273	 0.701905	 0.520455	 0.172381	 0.518095	 0.183636	 0.880455	 0.875714	 
25.000000	 -5.050642	 536.469650	 563.592813	 0.437017	 63.355529	 63.075645	 -0.778493	 36.644471	 36.924355	 -0.204120	 26.399913	 26.418071	 43.442444	 0.683333	 0.698095	 0.510476	 0.173810	 0.506667	 0.191429	 0.875238	 0.871905	 
25.000000	 -1.158289	 546.613980	 552.662116	 1.440676	 64.075789	 63.153025	 -2.569044	 35.924211	 36.846975	 -0.392471	 27.089619	 27.216724	 43.335913	 0.686818	 0.697727	 0.510000	 0.176364	 0.497273	 0.200455	 0.887727	 0.874091	 
25.000000	 -2.086145	 540.577621	 554.568628	 1.129697	 64.160281	 63.353654	 -2.143670	 35.839719	 36.646346	 0.466432	 27.534442	 27.368811	 43.730250	 0.686364	 0.690000	 0.500909	 0.183182	 0.491818	 0.198182	 0.882727	 0.878095	 
25.000000	 -7.120040	 533.175412	 571.981987	 1.071835	 63.787048	 63.095806	 -1.945998	 36.212952	 36.904194	 -0.321547	 26.920174	 26.980005	 43.346214	 0.688095	 0.693333	 0.510476	 0.179524	 0.499524	 0.193810	 0.883333	 0.872857	 
25.000000	 -7.337752	 535.273265	 575.104542	 1.643378	 63.809377	 62.757552	 -2.922286	 36.190623	 37.242448	 0.048048	 26.562271	 26.530664	 43.301929	 0.685000	 0.700909	 0.516364	 0.169091	 0.502273	 0.198636	 0.884545	 0.870000	 
25.000000	 -6.260425	 541.238319	 575.279523	 2.595534	 64.161480	 62.507027	 -4.566778	 35.838520	 37.492973	 -0.378335	 26.482943	 26.523683	 42.917682	 0.691364	 0.707727	 0.525000	 0.167273	 0.501364	 0.206364	 0.897727	 0.875000	 
25.000000	 -3.542992	 553.042967	 570.780971	 1.845182	 63.394246	 62.153767	 -3.245804	 36.605754	 37.846233	 -0.270127	 25.079828	 25.102600	 42.277505	 0.698095	 0.717000	 0.539048	 0.158571	 0.517000	 0.198095	 0.888000	 0.874500	 
25.000000	 2.134474	 565.451476	 552.990210	 2.639707	 63.034918	 61.385796	 -4.396580	 36.965082	 38.614204	 -0.104958	 24.414268	 24.421725	 43.477409	 0.690048	 0.690905	 0.533333	 0.156714	 0.510476	 0.177950	 0.870476	 0.847619	 
25.000000	 -4.103919	 546.840514	 570.287041	 0.712512	 62.926753	 62.308477	 -1.297839	 37.073247	 37.691523	 -0.376063	 25.047063	 25.119882	 43.636370	 0.681818	 0.696667	 0.521409	 0.161773	 0.509524	 0.185455	 0.867727	 0.857095	 
25.000000	 -3.108288	 554.108740	 574.771025	 3.404014	 63.262599	 61.147117	 -5.650432	 36.737401	 38.852883	 -0.034388	 24.429240	 24.412032	 43.162716	 0.690952	 0.696190	 0.540000	 0.148182	 0.509524	 0.187727	 0.880952	 0.846190	 
25.000000	 -1.376316	 564.503639	 571.530305	 2.843714	 62.631921	 60.873009	 -4.612063	 37.368079	 39.126991	 -0.231407	 23.517870	 23.555217	 43.016230	 0.686667	 0.707619	 0.545714	 0.141429	 0.520476	 0.187143	 0.873810	 0.849048	 
25.000000	 -0.599030	 554.117079	 558.395219	 3.707868	 63.424602	 61.086356	 -6.182128	 36.575398	 38.913644	 0.188874	 24.553568	 24.484455	 43.622161	 0.684762	 0.694286	 0.535714	 0.146818	 0.505238	 0.187727	 0.872857	 0.842857	 
