Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 4.867422	 504.534932	 479.398445	 0.159757	 62.630024	 62.520026	 -0.337184	 37.369976	 37.479974	 -0.210931	 25.150339	 25.153347	 47.948383	 0.619174	 0.629045	 0.469130	 0.150043	 0.465409	 0.164783	 0.783957	 0.782609	 
0.000000	 1.248502	 500.053647	 492.974356	 0.294098	 62.521467	 62.326028	 -0.574600	 37.478533	 37.673972	 -0.208957	 24.843643	 24.880703	 47.354812	 0.632083	 0.635000	 0.477500	 0.155000	 0.474583	 0.160417	 0.792500	 0.790000	 
0.000000	 -2.935029	 493.416403	 507.638943	 -0.568257	 62.663498	 63.008831	 0.877853	 37.336502	 36.991169	 0.240166	 25.729462	 25.641996	 46.986332	 0.632609	 0.641739	 0.471739	 0.161739	 0.476522	 0.165217	 0.800435	 0.803478	 
0.000000	 0.126197	 502.284710	 501.302755	 0.427715	 63.060746	 62.788786	 -0.747027	 36.939254	 37.211214	 -0.206663	 25.821205	 25.842224	 47.056790	 0.638750	 0.642083	 0.476250	 0.161667	 0.472917	 0.169167	 0.803913	 0.803750	 
0.000000	 -0.301625	 497.211443	 498.260746	 -0.257976	 62.481874	 62.639415	 0.403835	 37.518126	 37.360585	 0.064365	 25.131971	 25.106788	 47.342582	 0.633043	 0.634348	 0.473478	 0.159565	 0.475652	 0.158696	 0.792174	 0.793913	 
0.000000	 -4.690450	 492.393570	 515.413330	 -1.152290	 62.478131	 63.194240	 1.891344	 37.521869	 36.805760	 -0.105650	 25.637322	 25.637152	 46.698083	 0.637500	 0.649167	 0.473375	 0.163708	 0.482958	 0.166208	 0.802875	 0.812875	 
0.000000	 -2.295091	 504.194616	 515.405108	 0.319474	 62.792679	 62.585479	 -0.587206	 37.207321	 37.414521	 -0.159822	 25.440774	 25.449640	 46.031600	 0.649174	 0.652130	 0.486957	 0.162652	 0.483435	 0.168696	 0.818739	 0.814783	 
0.000000	 -1.341473	 501.535094	 507.067048	 -0.024178	 62.722804	 62.718807	 0.018811	 37.277196	 37.281193	 -0.160225	 25.245853	 25.268388	 46.482217	 0.644348	 0.649565	 0.483913	 0.160000	 0.482609	 0.166957	 0.810000	 0.809565	 
25.000000	 1.573712	 510.185234	 501.206234	 1.004815	 62.687438	 61.915200	 -1.723096	 37.312562	 38.084800	 0.049387	 24.766798	 24.746766	 46.583589	 0.642273	 0.643043	 0.489545	 0.153913	 0.479130	 0.163913	 0.807727	 0.796957	 
25.000000	 3.503562	 515.215696	 496.287951	 1.438810	 62.456850	 61.555062	 -2.416492	 37.543150	 38.444938	 -0.512559	 24.012994	 24.080092	 46.692683	 0.640375	 0.642652	 0.494125	 0.146250	 0.481667	 0.161348	 0.802917	 0.791292	 
